,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
1842,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1843,United Kingdom,Standard Room,3 nights ,September 2020,Couple,,,9.0,"Superb 3 night stay, location, staff, facilities spot on"
1844,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,8.0,Very Good
1845,United Kingdom,Premium Room,1 night ,September 2020,Group,,,8.0,Very Good
1846,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1847,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,10,Exceptional
1848,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1849,United Kingdom,Superior Room,1 night ,September 2020,Family,,,8.0,Very Good
1850,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1851,United Kingdom,Corner Suite,1 night ,September 2020,Couple,,,9.0,Wonderful
1852,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1853,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1854,United Kingdom,Premium Room,1 night ,September 2020,Couple,,,10,Exceptional
1855,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1856,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler,,,10,Exceptional
1857,United Kingdom,Standard Room,1 night ,September 2020,Family,,,10,Exceptional
1858,United Kingdom,Premium Room,1 night ,August 2020,Family,,,9.0,Wonderful
1859,United Kingdom,Premium Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1860,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,10,Exceptional
1861,United Kingdom,Premium Room,2 nights ,September 2020,Couple,,,10,Exceptional
1862,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1863,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1864,United Kingdom,Superior Room,2 nights ,September 2020,Solo traveler,,,9.0,Wonderful
1865,United Kingdom,Standard Room,1 night ,August 2020,Family,,,9.0,Wonderful
1866,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1867,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,10,Exceptional
1868,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,8.0,Very Good
1869,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1870,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1871,United Kingdom,Standard Room,3 nights ,August 2020,Family,,,8.0,Very Good
1872,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,8.0,Very Good
1873,United Kingdom,Junior Suite,2 nights ,September 2020,Couple,,,10,Exceptional
1874,United Kingdom,Premium Room,1 night ,September 2020,Couple,,,8.0,Brill wee nite
1875,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1876,United Kingdom,Junior Suite,1 night ,September 2020,Couple,,,10,Exceptional
1877,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1878,United Kingdom,Superior Room,2 nights ,September 2020,Couple,,,9.0,Wonderful
1879,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Perfect location and a good breakfast
1880,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1881,United Kingdom,Standard Room,3 nights ,August 2020,Family,,,8.0,Very Good
1882,United Kingdom,Superior Room,1 night ,September 2020,Couple,,,8.0,Very Good
1883,United Kingdom,Junior Suite,2 nights ,September 2020,Couple,,,10,Exceptional
1884,United Kingdom,Premium Room,1 night ,September 2020,Couple,,,8.0,Brill wee nite
1885,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1886,United Kingdom,Junior Suite,1 night ,September 2020,Couple,,,10,Exceptional
1887,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1888,United Kingdom,Superior Room,2 nights ,September 2020,Couple,,,9.0,Wonderful
1889,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Perfect location and a good breakfast
1890,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1891,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1892,United Kingdom,Standard Room,1 night ,August 2020,Solo traveler,,,9.0,Wonderful
1893,United Kingdom,Standard Room,3 nights ,September 2020,Couple,,,10,Exceptional
1894,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,9.0,Wonderful
1895,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1896,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1897,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,8.0,Very Good
1898,United Kingdom,Standard Room,1 night ,September 2020,Couple,,,10,Exceptional
1899,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,8.0,Very Good
1900,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1901,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,10,Exceptional
1902,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1903,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1904,United Kingdom,Standard Room,1 night ,September 2020,Solo traveler,,,8.0,Very Good
1905,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1906,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,8.0,Very Good
1907,United Kingdom,Standard Room,1 night ,August 2020,Solo traveler,,,9.0,Wonderful
1908,United Kingdom,Junior Suite,1 night ,August 2020,Couple,,,10,Exceptional
1909,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,9.0,"Lovely hotel, very central and staff were really friendly and helpful."
1910,United Kingdom,Standard Room,2 nights ,August 2020,Couple,,,9.0,Wonderful
1911,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1912,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,9.0,Wonderful
1913,United Kingdom,Standard Room,1 night ,August 2020,Couple,,,10,Exceptional
1914,United Kingdom,Premium Room,1 night ,August 2020,Couple,,,8.0,Very Good
