,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
3854,Jersey,Standard Room,1 night ,September 2018,Couple," Great location, very comfortable bed and very good breakfast selection available.  Rooms are spacious and well appointed (both standard and executive rooms).  Check in and check out process also very efficient and quick.", A bit more attention to the cleanliness at breakfast is required.  Two tables that were laid ready for breakfast had a lot of spilt food around the base of the table and chairs.,9.2,Great hotel in perfect location - easy walk to all 3 terminals.
3855,United Kingdom,Standard Room,1 night ,September 2018,Solo traveler," Very comfortable bed.
Excellent breakfast.
Very helpful and friendly staff.", Limited restaurant menu for evening meal.,9.6,Booked in at very last minute due to flight cancellation.Hotel was ideal for my circumstances even .
3856,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, Location,,9.6,Exceptional
3857,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple," Loved everything about the hotel, the view was great, the staff were lovely and the beds were super comfy. I loved the location also, couldn't have been better.", Nothing,10,Exceptional
3858,Australia,Standard Room,1 night ,September 2018,Couple," I do not see an airport as a romantic place to stay and that is why I put no to the relevant question. The hotel was most convenient, was clean and efficient and I would stay there again when next in Manchester.", Nothing that I can think of.,8.5,A most convenient place to stay when passing through Manchester airport
3859,Australia,Standard Room,1 night ,September 2018,Couple, Proximity to the airport, Average restaurant,7.5,Close to the airport
3860,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, Great location bit pricey but would stay again, Just the price a little too much,9.2,Wonderful
3861,United Kingdom,Premium Room,1 night ,September 2018,Couple, Very good room, Would have liked a bath,10,Very good. Excellent airport stop over
3862,United Kingdom,Superior Room with Runway View,1 night ,August 2018,Couple," Staff were excellent, the room had plenty of space and had a good veiw of the airport.
Room was comfortable and very clean, will definitely book this hotel again.", N/A,10,Great.
3863,United Kingdom,Standard Room,1 night ,August 2018,Family, Location is fantastic,,8.8,Excellent
3864,United Kingdom,Standard Room,1 night ,August 2018,Family, Location fantastic, Room service,9.2,Wonderful
3865,United Kingdom,Standard Room,1 night ,August 2018,Couple, Extremely comfortable bed and large room., The food in the restaurant was not particularly good standard. The menu was very limited and everything tasted like microwave food.,8.3,Great room shame about the restaurant
3866,United Kingdom,Standard Room,1 night ,September 2018,Solo traveler," The bed was comfy and pillows just the right softness, made for a very good night's sleep. Locality of the hotel to all the airport terminals.", There wasn't anything I didn't like ...,9.6,Very good if you want to relax before a long journey. Would certainly recommend to others.
3867,United Kingdom,Premium Room,1 night ,September 2018,Group," Superb location. We travelled to Manchester Airport by train, and the location of the hotel allowed us to walk into the airport and straight across the skyline into the hotel. No fuss and no transfers needed. 
Wonderful staff in the bar. Very attentive and provided a fantastic service, making the start of our holiday a pleasant one.
This will be my first choice for future Airport stays.",,9.2,Wonderful
3868,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple," Close proximity to airport.
Restaurant food was delicious.",,9.6,Exceptional
3869,United Kingdom,Standard Room,1 night ,September 2018,Couple, Room very comfortable and excellent location prior to long journey, Food over priced,9.6,Old favourite
3870,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Couple, Just love this hotel. It’s luxury at an affordable price, Nothing,10,Exceptional
3871,United Kingdom,Standard Room,1 night ,August 2018,Group," The restaurant was very busy, with a twenty minute wait to be seated, but we were asked if we wanted to eat at bar stools so we could be seated and eat straight away which is what we did. Fast efficient service, the food/ drink was very good and we left after about 40mins, fed and watered and ready to relax in our lovely room for a very early flight the next morning. It was everything I needed for the start of our break away",,10,Perfect stay for an early flight out.
3872,United Kingdom,Premium Room,1 night ,August 2018,Solo traveler, The staff were very friendly and attentive as always. Even when passing in corridoors they always said a cheery hello, Nothing,10,A holiday in itself
3873,United Kingdom,Standard Room,1 night ,September 2018,Solo traveler, Location for the airport is perfect,,9.6,Exceptional
3874,United Kingdom,Standard Room,1 night ,September 2018,Couple, Perfect location and Alex at check in was extremely helpful and checked all 5 of us in very smoothly and was very informative, Nithing to dislike lovely hotel,10,Perfect  night stay for an early morning flight will definitely reccommend
3875,Hong Kong,Superior Room with Runway View,1 night ,August 2018,Couple," Great bed, big and comfortable. Very convenient to the airport which is what we wanted. This hotel is the best one to walk to the terminals.
Swimming pool was nice.
Check-in was very simple and the staff member was excellent.", We stayed on a UK public holiday so I think staff was at a minimum. The room service dishes from previous guests remained outside our door and along the hallway throughout our overnight stay which was not very nice.,8.3,Perfect for an overnight stay at the airport.
3876,United Kingdom,Superior Room with Runway View,1 night ,September 2018,Family," Amazing hotel, excellent location and wonderful staff", Nothing,10,Exceptional
3877,Australia,Superior Room with Runway View,1 night ,August 2018,Couple, We use the Radisson Blu as a welcome break before our flight back to Australia and this time we stayed there after our flight to UK as well. The location within easy walking distance to the airport via a covered walkway couldn't be better. The staff were excellent and couldn't do enough for us. The amenities were  just what any traveler would need or expect. Breakfast was everything you could want even if the toaster was a bit slow.," I couldn't believe the price of a glass of sparkling wine $24 per glass, back home I can get a bottle for $8. The room only had one relaxing chair and in a room for two people with a view of the airport was not as relaxing as it should have been. The lift was having a little trouble and the lift doors would open when they felt like it at the end of the ride.",9.6,Great stopping off point before a long flight.
